"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES UNDERLYING DRS (C1)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","AS ON DATE","ACTION"
"Fairchem Organics Limited","74.06","25.94",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156527_428307_12042021105412_WEB.xml"
"3M India Limited","75","25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156528_428313_12042021105522_WEB.xml"
"ACC Limited","54.53","45.47",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156529_428325_12042021110428_WEB.xml"
"Elgi Equipments Limited","31.91","67.98",,"0.12","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156531_428386_12042021112501_WEB.xml"
"Shriram EPC Limited","28.76","71.24",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156533_428400_12042021112949_WEB.xml"
"Geekay Wires Limited","58.25","41.74",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156534_428406_12042021113017_WEB.xml"
"Zensar Technologies Limited","49.19","50.81",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156535_428409_12042021113158_WEB.xml"
"RKEC Projects Limited","73.98","26.02",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156536_428426_12042021113826_WEB.xml"
"Majesco Limited","14.78","85.22",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156537_428430_12042021114047_WEB.xml"
"Banco Products (I) Limited","67.88","32.12",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156539_428442_12042021114839_WEB.xml"
"Oil & Natural Gas Corporation Limited","60.41","39.59",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156540_428458_12042021115331_WEB.xml"
"V-Mart Retail Limited","46.67","53.33",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156541_428472_12042021115613_WEB.xml"
"The Jammu & Kashmir Bank Limited","68.18","31.82",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156542_428482_12042021115840_WEB.xml"
"SecUR Credentials Limited","61.59","38.4",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156543_428484_12042021115853_WEB.xml"
"Ramkrishna Forgings Limited","45.9","53.65",,"0.45","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156544_428504_12042021120451_WEB.xml"
"TCPL Packaging Limited","55.74","44.26",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156549_428559_12042021122115_WEB.xml"
"BOROSIL RENEWABLES LIMITED","61.83","38.17",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156550_428562_12042021122255_WEB.xml"
"The Ruby Mills Limited","74.9","25.1",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156552_428591_12042021123127_WEB.xml"
"NK Industries Limited","72.03","27.98",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156553_428603_12042021123414_WEB.xml"
"Snowman Logistics Limited","40.25","59.75",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156555_428609_12042021123600_WEB.xml"
"Maral Overseas Limited","74.95","25.05",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156558_428670_12042021125312_WEB.xml"
"MITCON Consultancy & Engineering Services Limited","0","100",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156559_428687_12042021125749_WEB.xml"
"New Delhi Television Limited","61.45","38.55",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156560_428695_12042021125831_WEB.xml"
"Karda Constructions Limited","62.72","37.28",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156562_428707_12042021010051_WEB.xml"
"National Fertilizers Limited","74.71","25.29",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156564_428751_12042021011700_WEB.xml"
"GTL Limited","32.41","67.59",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156565_428756_12042021011731_WEB.xml"
"Rajshree Polypack Limited","52.1","47.9",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156566_428758_12042021011831_WEB.xml"
"Mohit Industries Limited","54.1","45.9",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156567_428767_12042021011915_WEB.xml"
"Repco Home Finance Limited","37.13","62.87",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156569_428803_12042021012721_WEB.xml"
"GTL Infrastructure Limited","3.36","96.64",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156570_428811_12042021012920_WEB.xml"
"Tourism Finance Corporation of India Limited","27.25","72.75",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156573_428819_12042021013405_WEB.xml"
"Quintegra Solutions Limited","2.48","97.52",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156576_428834_12042021014020_WEB.xml"
"Laxmi Organic Industries Limited","72.92","27.08",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156577_428836_12042021014036_WEB.xml"
"JHS Svendgaard Laboratories Limited","41.77","58.23",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156579_428856_12042021015006_WEB.xml"
"Honda India Power Products Limited","66.67","33.33",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156580_428863_12042021015405_WEB.xml"
"Madras Fertilizers Limited","85.27","14.73",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156582_428870_12042021015552_WEB.xml"
"Prataap Snacks Limited","71.48","28.52",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156583_428899_12042021020354_WEB.xml"
"Sterling Tools Limited","65.77","34.23",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156584_428917_12042021020729_WEB.xml"
"Excel Industries Limited","52.8","47.2",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156585_428922_12042021020836_WEB.xml"
"Engineers India Limited","51.32","48.68",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156586_428927_12042021020947_WEB.xml"
"J.Kumar Infraprojects Limited","46.51","53.49",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156587_428936_12042021021113_WEB.xml"
"Nelcast Limited","74.83","25.17",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156588_428942_12042021021250_WEB.xml"
"Ice Make Refrigeration Limited","74.96","25.04",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156590_428957_12042021021948_WEB.xml"
"The Motor & General Finance Limited","67.68","32.33",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156591_428969_12042021022323_WEB.xml"
"ASL Industries Limited","70.89","29.1",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156592_428972_12042021022357_WEB.xml"
"General Insurance Corporation of India","85.78","14.22",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156594_429003_12042021023126_WEB.xml"
"Rajshree Sugars & Chemicals Limited","47.83","52.17",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156595_429010_12042021023420_WEB.xml"
"Alpa Laboratories Limited","56.66","43.34",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156596_429013_12042021023459_WEB.xml"
"Kalyani Forge Limited","58.61","41.39",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156597_429029_12042021023926_WEB.xml"
"Aarvee Denims & Exports Limited","65.8","34.2",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156599_429058_12042021024813_WEB.xml"
"Pokarna Limited","56.66","43.34",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156600_429062_12042021024909_WEB.xml"
"Gujarat Alkalies and Chemicals Limited","46.28","53.72",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156601_429079_12042021025237_WEB.xml"
"Arihant Superstructures Limited","74.31","25.69",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156602_429101_12042021025817_WEB.xml"
"Vinati Organics Limited","74.06","25.94",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156604_429140_12042021030915_WEB.xml"
"Shakti Pumps (India) Limited","54.66","45.34",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156605_429152_12042021031020_WEB.xml"
"Solar Industries India Limited","73.15","26.85",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156606_429159_12042021031146_WEB.xml"
"Lux Industries Limited","69.51","30.49",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156607_429169_12042021031304_WEB.xml"
"20 Microns Limited","44.83","55.17",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156608_429183_12042021031619_WEB.xml"
"Arvind SmartSpaces Limited","58.66","41.33",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156609_429197_12042021031837_WEB.xml"
"TD Power Systems Limited","58.97","39.81",,"1.22","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156610_429204_12042021031905_WEB.xml"
"DIC India Limited","71.75","28.25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156611_429230_12042021032250_WEB.xml"
"Indian Oil Corporation Limited","51.5","48.5",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156612_429240_12042021032331_WEB.xml"
"Swan Energy Limited","64.89","35.11",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156613_429245_12042021032348_WEB.xml"
"Fineotex Chemical Limited","64.74","35.26",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156615_429295_12042021033755_WEB.xml"
"Jaiprakash Power Ventures Limited","26.02","73.98",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156616_429300_12042021033833_WEB.xml"
"Deccan Cements Limited","56.24","43.76",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156617_429309_12042021034107_WEB.xml"
"Bharat Road Network Limited","53.76","46.24",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156618_429320_12042021034319_WEB.xml"
"Skipper Limited","71.89","28.11",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156619_429326_12042021034335_WEB.xml"
"Sequent Scientific Limited","53.86","45.54",,"0.6","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156620_429328_12042021034417_WEB.xml"
"Compucom Software Limited","74.5","25.5",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156621_429338_12042021034652_WEB.xml"
"Piramal Enterprises Limited","46.06","53.22",,"0.73","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156622_429366_12042021035134_WEB.xml"
"Sanghvi Movers Limited","47.25","52.75",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156623_429375_12042021035417_WEB.xml"
"Max India Limited","40.89","59.11",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156624_429403_12042021040011_WEB.xml"
"Sambhaav Media Limited","62.93","37.07",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156625_429412_12042021040148_WEB.xml"
"PC Jeweller Limited","54.53","45.47",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156626_429455_12042021041059_WEB.xml"
"Kellton Tech Solutions Limited","55.85","44.15",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156627_429467_12042021041407_WEB.xml"
"Zodiac Clothing Company Limited","69.98","30.02",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156628_429479_12042021041606_WEB.xml"
"Paisalo Digital Limited","43.78","56.21",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156629_429485_12042021041724_WEB.xml"
"Ausom Enterprise Limited","73.7","26.3",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156630_429490_12042021041833_WEB.xml"
"Everest Industries Limited","50.74","49.26",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156631_429523_12042021042510_WEB.xml"
"IDFC First Bank Limited","39.98","60.02",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156632_429564_12042021043205_WEB.xml"
"Binani Industries Limited","52.62","47.38",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156633_429567_12042021043331_WEB.xml"
"Finolex Cables Limited","35.92","64.08",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156634_429569_12042021043351_WEB.xml"
"Nila Spaces Limited","61.9","38.1",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156635_429579_12042021043534_WEB.xml"
"MRF Limited","27.84","72.16",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156636_429583_12042021043609_WEB.xml"
"Bosch Limited","70.54","29.46",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156637_429592_12042021043831_WEB.xml"
"Amara Raja Batteries Limited","28.06","71.94",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156638_429608_12042021044015_WEB.xml"
"AYM Syntex Limited","72.41","27.59",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156639_429617_12042021044103_WEB.xml"
"AksharChem India Limited","62.7","37.3",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156642_429689_12042021045122_WEB.xml"
"Kokuyo Camlin Limited","74.99","25.01",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156643_429691_12042021045130_WEB.xml"
"Relaxo Footwears Limited","70.92","29.08",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156644_429700_12042021045310_WEB.xml"
"Ashoka Buildcon Limited","54.48","45.52",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156645_429709_12042021045404_WEB.xml"
"Inspirisys Solutions Limited","69.95","30.05",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156646_429711_12042021045419_WEB.xml"
"Nila Infrastructures Limited","61.9","38.1",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156647_429713_12042021045439_WEB.xml"
"BEML Limited","54.03","45.97",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156648_429724_12042021045503_WEB.xml"
"The Western India Plywoods Limited","41.01","58.99",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156649_429732_12042021045548_WEB.xml"
"Aditya Birla Capital Limited","70.69","29.31",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156651_429742_12042021045742_WEB.xml"
"Page Industries Limited","48.32","51.68",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156652_429756_12042021050024_WEB.xml"
"Housing & Urban Development Corporation Limited","89.81","10.19",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156657_429827_12042021051205_WEB.xml"
"Atul Limited","44.93","55.07",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156658_429843_12042021051505_WEB.xml"
"Supreme Industries Limited","48.85","51.15",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156660_429868_12042021051851_WEB.xml"
"Ducon Infratechnologies Limited","65.34","34.66",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156661_429872_12042021051948_WEB.xml"
"Bank of Maharashtra","93.33","6.67",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156662_429876_12042021051957_WEB.xml"
"Shivam Autotech Limited","74.8","25.2",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156663_429878_12042021052000_WEB.xml"
"OM INFRA LIMITED","71.68","28.32",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156665_429883_12042021052059_WEB.xml"
"Sakuma Exports Limited","61.87","38.12",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156666_429890_12042021052234_WEB.xml"
"eClerx Services Limited","53.81","43.66",,"2.53","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156667_429908_12042021052539_WEB.xml"
"Hotel Rugby Limited","27.42","72.58",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156668_429910_12042021052545_WEB.xml"
"Lupin Limited","46.86","53.14",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156669_429912_12042021052602_WEB.xml"
"ABB Power Products and Systems India Limited","75","25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156672_429940_12042021053002_WEB.xml"
"Filatex India Limited","65.23","34.77",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156673_429969_12042021053311_WEB.xml"
"PVP Ventures Limited","57.53","42.47",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156674_429983_12042021053546_WEB.xml"
"UCO Bank","94.44","5.56",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156675_429990_12042021053625_WEB.xml"
"E2E Networks Limited","58.51","41.48",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156676_430004_12042021053830_WEB.xml"
"Asian Hotels (East) Limited","65.63","34.37",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156678_430069_12042021054711_WEB.xml"
"W S Industries (I) Limited","37.69","62.31",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156679_430092_12042021055105_WEB.xml"
"Dr. Lal Path Labs Ltd.","55.23","43.91",,"0.87","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156680_430121_12042021055517_WEB.xml"
"Onward Technologies Limited","61.71","38.29",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156681_430143_12042021055751_WEB.xml"
"SKIL Infrastructure Limited","57.73","38.82",,"3.46","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156682_430160_12042021060033_WEB.xml"
"Vimta Labs Limited","37.46","62.54",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156684_430203_12042021060819_WEB.xml"
"Sanginita Chemicals Limited","73.5","26.5",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156685_430258_12042021062153_WEB.xml"
"SIL Investments Limited","62.75","37.25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156686_430260_12042021062225_WEB.xml"
"Cholamandalam Financial Holdings Limited","48.8","51.2",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156687_430307_12042021063311_WEB.xml"
"RBL Bank Limited","0","100",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156688_430311_12042021063405_WEB.xml"
"CL Educate Limited","50.63","49.37",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156689_430324_12042021063735_WEB.xml"
"Jayant Agro Organics Limited","66.4","33.6",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156690_430386_12042021065518_WEB.xml"
"Rupa & Company Limited","73.28","26.72",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156691_430401_12042021065815_WEB.xml"
"Manali Petrochemicals Limited","44.86","55.14",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156692_430445_12042021071441_WEB.xml"
"Tata Consultancy Services Limited","72.19","27.81",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156693_430485_12042021073053_WEB.xml"
"Burger King India Limited","52.69","47.31",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156694_430487_12042021073210_WEB.xml"
"Welspun Corp Limited","50.02","49.98",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156695_430498_12042021073544_WEB.xml"
"Marathon Nextgen Realty Limited","74.97","25.03",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156697_430555_12042021080640_WEB.xml"
"Total Transport Systems Limited","52.27","47.72",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156698_430614_12042021090355_WEB.xml"
"Kolte - Patil Developers Limited","74.45","25.55",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156699_430616_12042021090446_WEB.xml"
"Gateway Distriparks Limited","32.14","67.86",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156700_430630_12042021091540_WEB.xml"
"Nippon Life India Asset Management Limited","74.46","25.54",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156703_430669_12042021101803_WEB.xml"
"Dabur India Limited","67.38","32.62",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156704_430678_12042021102851_WEB.xml"
"Sharda Motor Industries Limited","73.2","26.8",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156705_430731_13042021054411_WEB.xml"
"Fortis Healthcare Limited","31.17","68.83",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156706_430756_13042021100844_WEB.xml"
"Jindal Photo Limited","72.72","27.28",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156709_430783_13042021104007_WEB.xml"
"Oriental Carbon & Chemicals Limited","51.76","48.24",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156710_430786_13042021104526_WEB.xml"
"Lakshmi Machine Works Limited","31.11","68.89",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156711_430794_13042021104910_WEB.xml"
"Williamson Magor & Company Limited","62.01","37.99",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156712_430796_13042021104943_WEB.xml"
"West Coast Paper Mills Limited","56.29","43.71",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156713_430798_13042021104950_WEB.xml"
"Indraprastha Medical Corporation Limited","51","49",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156715_430822_13042021110435_WEB.xml"
"Kernex Microsystems (India) Limited","22.34","77.66",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156718_430845_13042021111534_WEB.xml"
"Larsen & Toubro Infotech Limited","74.27","25.73",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156719_430881_13042021112616_WEB.xml"
"Tarmat Limited","39.9","60.1",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156720_430888_13042021112749_WEB.xml"
"Kiri Industries Limited","41.61","58",,"0.39","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156721_430898_13042021113225_WEB.xml"
"UFLEX Limited","44.02","55.98",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156722_430930_13042021114031_WEB.xml"
"Madhav Marbles and Granites Limited","40.98","59.02",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156723_430941_13042021114452_WEB.xml"
"Mahanagar Gas Limited","32.5","67.5",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156726_430951_13042021114817_WEB.xml"
"Schaeffler India Limited","74.13","25.87",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156727_430979_13042021120009_WEB.xml"
"TECIL Chemicals and Hydro Power Limited","47.71","52.29",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156728_430983_13042021120035_WEB.xml"
"United Breweries Limited","57.72","42.28",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156729_430985_13042021120039_WEB.xml"
"Kalyani Commercials Limited","53.14","46.86",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156730_431002_13042021120344_WEB.xml"
"IL&FS Transportation Networks Limited","73.22","26.78",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156731_431007_13042021120636_WEB.xml"
"Ujaas Energy Limited","0.01","99.99",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156732_431012_13042021120919_WEB.xml"
"TPL Plastech Limited","75","25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156733_431030_13042021122211_WEB.xml"
"Sun TV Network Limited","75","25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156734_431032_13042021122230_WEB.xml"
"Ujjivan Small Finance Bank Limited","83.32","16.68",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156735_431034_13042021122256_WEB.xml"
"DCM Financial Services Limited","39.5","60.5",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156736_431048_13042021122745_WEB.xml"
"UTI Asset Management Company Limited","0","100",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156737_431051_13042021122840_WEB.xml"
"Zota Health Care LImited","69.97","30.03",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156739_431065_13042021123537_WEB.xml"
"Shirpur Gold Refinery Limited","43.66","56.34",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156740_431113_13042021124502_WEB.xml"
"TCNS Clothing Co. Limited","32.31","67.69",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156741_431118_13042021124645_WEB.xml"
"TRF Limited","34.12","65.88",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156743_431155_13042021010127_WEB.xml"
"Jindal Poly Films Limited","74.55","25.45",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156744_431168_13042021010533_WEB.xml"
"AVSL Industries Limited","70.25","29.76",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156745_431173_13042021010559_WEB.xml"
"Kamat Hotels (I) Limited","60.9","39.1",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156746_431180_13042021010652_WEB.xml"
"Vesuvius India Limited","55.57","44.43",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156747_431182_13042021010700_WEB.xml"
"Universus Photo Imagings Limited","74.55","25.45",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156748_431203_13042021011251_WEB.xml"
"India Tourism Development Corporation Limited","87.03","12.97",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156749_431209_13042021011437_WEB.xml"
"Tamil Nadu Newsprint & Papers Limited","35.32","64.68",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156750_431215_13042021011625_WEB.xml"
"Galaxy Surfactants Limited","70.93","29.07",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_156752_431250_13042021013254_WEB.xml"
