"COMPANY","PROMOTER & PROMOTER GROUP (A)","PUBLIC (B)","SHARES UNDERLYING DRS (C1)","SHARES HELD BY EMPLOYEE TRUSTS (C2)","AS ON DATE","ACTION"
"Lambodhara Textiles Limited","72.65","27.35",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155858_421795_05042021032033_WEB.xml"
"IFGL Refractories Limited","72.43","27.57",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155859_421799_05042021032339_WEB.xml"
"Focus Lighting and Fixtures Limited","73.36","26.64",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155865_421848_05042021035956_WEB.xml"
"R M Drip and Sprinklers Systems Limited","60.23","39.78",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155866_421851_05042021040025_WEB.xml"
"Industrial Investment Trust Limited","57.97","42.03",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155867_421867_05042021040642_WEB.xml"
"Sirca Paints India Limited","67.55","32.45",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155869_421880_05042021041755_WEB.xml"
"Oil Country Tubular Limited","49.22","50.78",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155870_421897_05042021042440_WEB.xml"
"Hisar Metal Industries Limited","56.49","43.51",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155875_421953_05042021045709_WEB.xml"
"Technocraft Industries (India) Limited","74.68","25.32",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155876_421963_05042021045935_WEB.xml"
"Mask Investments Limited","72.25","27.75",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155877_421990_05042021051245_WEB.xml"
"Nandani Creation Limited","70.29","29.71",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155880_422017_05042021052314_WEB.xml"
"Aries Agro Limited","52.66","47.34",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155881_422019_05042021052326_WEB.xml"
"Nagreeka Exports Limited","52.87","47.13",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155884_422046_05042021053924_WEB.xml"
"Nagreeka Capital & Infrastructure Limited","53.53","46.47",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155885_422068_05042021055325_WEB.xml"
"Mazagon Dock Shipbuilders Limited","84.83","15.17",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155886_422072_05042021055412_WEB.xml"
"T T Limited","58.06","41.94",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155887_422095_05042021060023_WEB.xml"
"LCC Infotech Limited","45.94","54.06",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155892_422254_05042021093644_WEB.xml"
"Aaron Industries Limited","74.97","25.03",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155898_422278_06042021101940_WEB.xml"
"KNR Constructions Limited","55.03","44.97",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155899_422281_06042021102346_WEB.xml"
"Mittal Life Style Limited","40.09","59.92",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155900_422284_06042021102544_WEB.xml"
"Spectrum Electrical Industries Limited","68.91","31.09",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155901_422288_06042021103302_WEB.xml"
"Patel Integrated Logistics Limited","42.8","57.2",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155904_422297_06042021104836_WEB.xml"
"Camlin Fine Sciences Limited","21.62","78.38",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155906_422304_06042021105523_WEB.xml"
"BDR Buildcon Limited","65.39","34.61",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155908_422342_06042021113124_WEB.xml"
"Divi's Laboratories Limited","51.95","48.05",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155909_422345_06042021113500_WEB.xml"
"GTPL Hathway Limited","75","25",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155910_422350_06042021114036_WEB.xml"
"Bajaj Consumer Care Limited","38.04","61.96",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155911_422358_06042021115003_WEB.xml"
"Giriraj Civil Developers Limited","59.57","40.43",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155912_422363_06042021115130_WEB.xml"
"M.R. Organisation Limited","98.8","1.2",,"0","31-MAR-2021","https://archives.nseindia.com/corporate/xbrl/SHP_155914_422380_06042021121403_WEB.xml"
