"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT","BROADCAST DATE"
"NELCO Limited","22818400","11428940","    50.09","11389460","0","     0.00","     0.00","09-Apr-2021 11:30:04","1149079","21676242","5.3","09-Apr-2021 11:30:04"
"NHPC Limited","10045034805","7126772676","    70.95","2918262129","0","     0.00","     0.00","09-Apr-2021 11:30:29","47243085","10044963754","0.47","09-Apr-2021 11:30:29"
"NIIT Limited","141808131","48604637","    34.27","93203494","0","     0.00","     0.00","09-Apr-2021 11:30:21","3355089","142011519","2.36","09-Apr-2021 11:30:21"
"NK Industries Limited","6009900","4276704","    71.16","1733196","0","     0.00","     0.00","09-Apr-2021 11:30:10","2616","5467480","0.05","09-Apr-2021 11:30:10"
"NLC India Limited","1386636609","1098221224","    79.20","288415385","0","     0.00","     0.00","09-Apr-2021 11:30:19","9351387","1384558570","0.68","09-Apr-2021 11:30:19"
"NMDC Limited","3061849659","2132453593","    69.65","929396066","0","     0.00","     0.00","09-Apr-2021 11:30:28","24507989","2930509631","0.84","09-Apr-2021 11:30:28"
"NOCIL Limited","166065080","56391184","    33.96","109673896","4764062","     8.45","     2.87","09-Apr-2021 11:30:07","17931935","163906761","10.94","09-Apr-2021 11:30:07"
"NRB Bearing Limited","96922600","47995619","    49.52","48926981","600000","     1.25","     0.62","09-Apr-2021 11:30:19","1280282","96600040","1.33","09-Apr-2021 11:30:19"
"NRB Industrial Bearings Limited","24230650","17863677","    73.72","6366973","0","     0.00","     0.00","09-Apr-2021 11:30:33","105266","24126671","0.44","09-Apr-2021 11:30:33"
"NTPC Limited","9696666134","4955346251","    51.10","4741319883","0","     0.00","     0.00","09-Apr-2021 11:30:22","22551140","9696511693","0.23","09-Apr-2021 11:30:22"
"NXTDIGITAL LIMITED","24051158","14967009","    62.23","9084149","0","     0.00","     0.00","09-Apr-2021 11:30:26","195125","23292597","0.84","09-Apr-2021 11:30:26"
"Nagarjuna Fertilizers and Chemicals Limited","598065003","341700129","    57.13","256364874","296072140","    86.65","    49.51","09-Apr-2021 11:30:34","300833067","577032868","52.13","09-Apr-2021 11:30:34"
"Nagreeka Capital & Infrastructure Limited","12615300","6753159","    53.53","5862141","0","     0.00","     0.00","09-Apr-2021 11:30:27","110401","12127346","0.91","09-Apr-2021 11:30:27"
"Nagreeka Exports Limited","12499700","6608709","    52.87","5890991","0","     0.00","     0.00","09-Apr-2021 11:30:27","113238","12301563","0.92","09-Apr-2021 11:30:27"
"Nahar Capital and Financial Services Limited","16746167","11870671","    70.89","4875496","0","     0.00","     0.00","09-Apr-2021 11:30:28","211457","16504856","1.28","09-Apr-2021 11:30:28"
"Nahar Industrial Enterprises Limited","39835141","27413178","    68.82","12421963","0","     0.00","     0.00","09-Apr-2021 11:30:23","626776","38135142","1.64","09-Apr-2021 11:30:23"
"Nahar Poly Films Limited","24587991","17283559","    70.29","7304432","0","     0.00","     0.00","09-Apr-2021 11:30:26","323039","23682062","1.36","09-Apr-2021 11:30:26"
"Nahar Spinning Mills Limited","36065303","23694824","    65.70","12370479","0","     0.00","     0.00","09-Apr-2021 11:30:26","663946","35233191","1.88","09-Apr-2021 11:30:26"
"Nakoda Limited","300000000","136849600","    45.62","163150400","6218400","     4.54","     2.07","09-Apr-2021 11:30:33","11541372","296046643","3.9","09-Apr-2021 11:30:33"
"Nalwa Sons Investments Limited","5136163","2856470","    55.61","2279693","0","     0.00","     0.00","09-Apr-2021 11:30:21","16577","4961578","0.33","09-Apr-2021 11:30:21"
"Nandan Denim Limited","48049056","31102147","    64.73","16946909","0","     0.00","     0.00","09-Apr-2021 11:30:32","1723468","48038724","3.59","09-Apr-2021 11:30:32"
"Natco Pharma Limited","182337825","89103245","    48.87","93234580","0","     0.00","     0.00","09-Apr-2021 11:30:16","4821358","181615957","2.65","09-Apr-2021 11:30:16"
"Nath Bio-Genes (India) Limited","19004000","7942342","    41.79","11061658","3184000","    40.09","    16.75","09-Apr-2021 11:30:33","7746926","18676785","41.48","09-Apr-2021 11:30:33"
"National Aluminium Company Limited","1865617498","960793011","    51.50","904824487","0","     0.00","     0.00","09-Apr-2021 11:30:18","49486648","1834800995","2.7","09-Apr-2021 11:30:18"
"National Fertilizers Limited","490578400","366529532","    74.71","124048868","0","     0.00","     0.00","09-Apr-2021 11:30:25","5378470","490308968","1.1","09-Apr-2021 11:30:25"
"National Steel And Agro Industries Limited","44500000","22184963","    49.85","22315037","0","     0.00","     0.00","09-Apr-2021 11:30:04","285686","41016592","0.7","09-Apr-2021 11:30:04"
"Nava Bharat Ventures Limited","156393797","71204301","    45.53","85189496","0","     0.00","     0.00","09-Apr-2021 11:30:15","7441788","147819294","5.03","09-Apr-2021 11:30:15"
"Navin Fluorine International Limited","49496915","15099724","    30.51","34397191","450000","     2.98","     0.91","09-Apr-2021 11:30:27","1877278","48502502","3.87","09-Apr-2021 11:30:27"
"Navkar Corporation Limited","150519181","103898347","    69.03","46620834","9248347","     8.90","     6.14","09-Apr-2021 11:30:34","18201799","150519179","12.09","09-Apr-2021 11:30:34"
"Navneet Education Limited","228870500","142646263","    62.33","86224237","0","     0.00","     0.00","09-Apr-2021 11:30:14","4341174","226555076","1.92","09-Apr-2021 11:30:14"
"Nectar Lifesciences Limited","224260970","145468000","    64.87","78792970","0","     0.00","     0.00","09-Apr-2021 11:30:23","3738756","224258920","1.67","09-Apr-2021 11:30:23"
"Nelcast Limited","87001200","65106012","    74.83","21895188","0","     0.00","     0.00","09-Apr-2021 11:30:27","1274732","87001185","1.47","09-Apr-2021 11:30:27"
"Nesco Limited","70459960","48290313","    68.54","22169647","0","     0.00","     0.00","09-Apr-2021 11:30:29","998657","69258350","1.44","09-Apr-2021 11:30:29"
"Network18 Media & Investments Limited","1046948519","785211389","    75.00","261737130","0","     0.00","     0.00","09-Apr-2021 11:30:25","91701259","1046831067","8.76","09-Apr-2021 11:30:25"
"Neueon Towers Limited","56544552","21074443","    37.27","35470109","21073086","    99.99","    37.27","09-Apr-2021 11:30:33","21155856","56227595","37.63","09-Apr-2021 11:30:33"
"Neuland Laboratories Limited","12829889","4646932","    36.22","8182957","200000","     4.30","     1.56","09-Apr-2021 11:30:09","1200814","12713652","9.45","09-Apr-2021 11:30:09"
"New Delhi Television Limited","64471267","39615168","    61.45","24856099","0","     0.00","     0.00","09-Apr-2021 11:30:21","1838819","64435242","2.85","09-Apr-2021 11:30:21"
"Next Mediaworks Limited","66892908","50161307","    74.99","16731601","0","     0.00","     0.00","09-Apr-2021 11:30:20","933527","66891019","1.4","09-Apr-2021 11:30:20"
"Nilkamal Limited","14922525","9599446","    64.33","5323079","0","     0.00","     0.00","09-Apr-2021 11:30:13","229328","14812897","1.55","09-Apr-2021 11:30:13"
"Nippon Life India Asset Management Limited","612951356","464706691","    75.81","148244665","0","     0.00","     0.00","09-Apr-2021 11:30:35","8018679","615305017","1.3","09-Apr-2021 11:30:35"
"Nitco Limited","71858955","38097176","    53.02","33761779","34814838","    91.38","    48.45","09-Apr-2021 11:30:24","36567185","71844326","50.9","09-Apr-2021 11:30:24"
"Nitin Fire Protection Industries Limited","292269622","173713701","    59.44","118555921","37163888","    21.39","    12.72","09-Apr-2021 11:30:27","39497582","292269165","13.51","09-Apr-2021 11:30:27"
"Nitin Spinners Limited","56220000","31537990","    56.10","24682010","0","     0.00","     0.00","09-Apr-2021 11:30:23","1945495","56219370","3.46","09-Apr-2021 11:30:23"
"Noesis Industries Limited","26329091","11650144","    44.25","14678947","4133076","    35.48","    15.70","09-Apr-2021 11:30:28","4196916","25963593","16.16","09-Apr-2021 11:30:28"
"Noida Toll Bridge Company Limited","186195002","49095007","    26.37","137099995","0","     0.00","     0.00","09-Apr-2021 11:30:18","7229678","185875845","3.89","09-Apr-2021 11:30:18"
"Norben Tea & Exports Limited","11750000","6044759","    51.44","5705241","0","     0.00","     0.00","09-Apr-2021 11:30:16","143436","9256194","1.55","09-Apr-2021 11:30:16"
"Nu Tek India Limited","154518600","14694204","     9.51","139824396",,,,"09-Apr-2021 11:30:29","1285964","153610685","0.84","09-Apr-2021 11:30:29"
"Nucleus Software Exports Limited","29040724","19627866","    67.59","9412858","0","     0.00","     0.00","09-Apr-2021 11:30:20","451662","28981854","1.56","09-Apr-2021 11:30:20"
"OCL Iron and Steel Limited","145309826","51494284","    35.44","93815542","0","     0.00","     0.00","09-Apr-2021 11:30:29","1614054","130877938","1.23","09-Apr-2021 11:30:29"
"OM INFRA LIMITED","96303809","69031905","    71.68","27271904","0","     0.00","     0.00","09-Apr-2021 11:30:32","4078982","96259049","4.24","09-Apr-2021 11:30:32"
"Oberoi Realty Limited","363602237","246174946","    67.70","117427291","0","     0.00","     0.00","09-Apr-2021 11:30:31","1320789","363602229","0.36","09-Apr-2021 11:30:31"
"Oil & Natural Gas Corporation Limited","12580279206","7599608458","    60.41","4980670748","0","     0.00","     0.00","09-Apr-2021 11:30:09","31872965","12575646300","0.25","09-Apr-2021 11:30:09"
"Oil Country Tubular Limited","44289530","21799431","    49.22","22490099","14489000","    66.47","    32.71","09-Apr-2021 11:30:09","15409067","42890138","35.93","09-Apr-2021 11:30:09"
"Oil India Limited","1084405194","614376660","    56.66","470028534","0","     0.00","     0.00","09-Apr-2021 11:30:29","6969050","1081265694","0.64","09-Apr-2021 11:30:29"
"Olectra Greentech Limited","82080737","48442517","    59.02","33638220","1222015","     2.52","     1.49","09-Apr-2021 11:30:20","2908623","82007859","3.55","09-Apr-2021 11:30:20"
"Omax Autos Limited","21388213","12284597","    57.44","9103616","0","     0.00","     0.00","09-Apr-2021 11:30:20","370838","21082343","1.76","09-Apr-2021 11:30:20"
"Omaxe Limited","182900540","135606918","    74.14","47293622","90115405","    66.45","    49.27","09-Apr-2021 11:30:27","88923399","182899871","48.62","09-Apr-2021 11:30:27"
"Omkar Speciality Chemicals Limited","20578004","5682827","    27.62","14895177","4372317","    76.94","    21.25","09-Apr-2021 11:30:31","2785934","20577994","13.54","09-Apr-2021 11:30:31"
"OnMobile Global Limited","104496313","50923703","    48.73","53572610","0","     0.00","     0.00","09-Apr-2021 11:30:28","4897922","104480485","4.69","09-Apr-2021 11:30:28"
"Onelife Capital Advisors Limited","13360000","9960000","    74.55","3400000","0","     0.00","     0.00","09-Apr-2021 11:30:32","78083","13359998","0.58","09-Apr-2021 11:30:32"
"Onward Technologies Limited","16284970","10072281","    61.85","6212689","0","     0.00","     0.00","09-Apr-2021 11:30:13","584289","16160841","3.62","09-Apr-2021 11:30:13"
"Optiemus Infracom Limited","85814191","64300541","    74.93","21513650","21820000","    33.93","    25.43","09-Apr-2021 11:30:34","27959622","84610758","33.04","09-Apr-2021 11:30:34"
"Opto Circuits (India) Limited","300625744","55673317","    18.52","244952427","0","     0.00","     0.00","09-Apr-2021 11:30:21","6816563","299874169","2.27","09-Apr-2021 11:30:21"
"Oracle Financial Services Software Limited","86040117","63051197","    73.28","22988920","0","     0.00","     0.00","09-Apr-2021 11:30:20","438827","85855807","0.51","09-Apr-2021 11:30:20"
"Orbit Exports Limited","27383065","18039723","    65.88","9343342","0","     0.00","     0.00","09-Apr-2021 11:30:33","495387","27008874","1.83","09-Apr-2021 11:30:33"
"Orchid Pharma Limited","40816400","40030766","    98.08","785634","15846","     0.04","     0.04","09-Apr-2021 11:30:35","107254","40812736","0.26","09-Apr-2021 11:30:35"
"Oricon Enterprises Limited","157047715","104149709","    66.32","52898006","0","     0.00","     0.00","09-Apr-2021 11:30:34","2849726","156542319","1.82","09-Apr-2021 11:30:34"
"Orient Abrasives Limited","119639200","76066129","    63.58","43573071","0","     0.00","     0.00","09-Apr-2021 11:30:23","1651360","118740765","1.39","09-Apr-2021 11:30:23"
"Orient Bell Limited","14339576","9108811","    63.52","5230765","0","     0.00","     0.00","09-Apr-2021 11:30:26","248781","14122743","1.76","09-Apr-2021 11:30:26"
"Orient Cement Limited","204868760","76549922","    37.37","128318838","14845000","    19.39","     7.25","09-Apr-2021 11:30:33","15315412","203794625","7.52","09-Apr-2021 11:30:33"
"Orient Electric Limited","212185502","81733294","    38.52","130452208","7000000","     8.56","     3.30","09-Apr-2021 11:30:35","8965480","211061636","4.25","09-Apr-2021 11:30:35"
"Orient Green Power Company Limited","750723977","365812640","    48.73","384911337","365426114","    99.89","    48.68","09-Apr-2021 11:30:31","385613661","750721108","51.37","09-Apr-2021 11:30:31"
"Orient Paper & Industries Limited","212185502","82193294","    38.74","129992208","0","     0.00","     0.00","09-Apr-2021 11:30:04","8860129","211423451","4.19","09-Apr-2021 11:30:04"
"Orient Press Limited","10000000","7304999","    73.05","2695001","0","     0.00","     0.00","09-Apr-2021 11:30:30","533976","9962935","5.36","09-Apr-2021 11:30:30"
"Orient Refractories Limited","120139200","79877771","    66.49","40261429","0","     0.00","     0.00","09-Apr-2021 11:30:32","1199736","119091257","1.01","09-Apr-2021 11:30:32"
"Oriental Hotels Limited","178599180","121098635","    67.80","57500545","307820","     0.25","     0.17","09-Apr-2021 11:30:14","908313","175391698","0.52","09-Apr-2021 11:30:14"
"Oriental Trimex Limited","28515208","8008206","    28.08","20507002","0","     0.00","     0.00","09-Apr-2021 11:30:26","290979","28514200","1.02","09-Apr-2021 11:30:26"
"Oswal Agro Mills Limited","134234776","56033948","    41.74","78200828","0","     0.00","     0.00","09-Apr-2021 11:30:11","904172","110425051","0.82","09-Apr-2021 11:30:11"
"Oswal Chemicals & Fertilizers Limited","256809159","165196835","    64.33","91612324","0","     0.00","     0.00","09-Apr-2021 11:30:12","2874929","236666098","1.21","09-Apr-2021 11:30:12"
"PAE Limited","10419600","5820352","    55.86","4599248","0","     0.00","     0.00","09-Apr-2021 11:30:03","58147","9800976","0.59","09-Apr-2021 11:30:03"
"PBA Infrastructure Limited","13500562","7384255","    54.70","6116307","4762065","    64.49","    35.27","09-Apr-2021 11:30:23","4884402","13500256","36.18","09-Apr-2021 11:30:23"
"PC Jeweller Limited","395073896","183470096","    46.44","211603800","0","     0.00","     0.00","09-Apr-2021 11:30:33","31440276","465402960","6.76","09-Apr-2021 11:30:33"
"PDS Multinational Fashions Limited","26046724","17359886","    66.65","8686838","0","     0.00","     0.00","09-Apr-2021 11:30:33","1810987","25879321","7","09-Apr-2021 11:30:33"
"PG Electroplast Limited","19528916","13647181","    69.88","5881735","0","     0.00","     0.00","09-Apr-2021 11:30:32","1244832","19528915","6.37","09-Apr-2021 11:30:32"
"PI Industries Limited","151713435","71021878","    46.81","80691557","0","     0.00","     0.00","09-Apr-2021 11:30:32","1086885","151622862","0.72","09-Apr-2021 11:30:32"
"PIL ITALICA LIFESTYLE LIMITED","235000000","155373378","    66.12","79626622","0","     0.00","     0.00","09-Apr-2021 11:30:33","3827881","233711800","1.64","09-Apr-2021 11:30:33"
