"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"BRIGADE","Brigade Enterprises Limited","7(2)","N Shivram","Employees/Designated Employees","Equity Shares","41888","0.02",,"10000","2848588","Sell","Equity Shares","31888","0.02","09-Feb-2021","09-Feb-2021","10-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 19:45","https://archives.nseindia.com/corporate/xbrl/IT_1091155_406582_11022021074538_WEB.xml"
"BRIGADE","Brigade Enterprises Limited","7(2)","UDAY KUMAR A","Employees/Designated Employees","Equity Shares","9712","0.01",,"9712","2778745","Sell","Equity Shares","Nil","0","08-Feb-2021","08-Feb-2021","10-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 19:45","https://archives.nseindia.com/corporate/xbrl/IT_1091155_406582_11022021074538_WEB.xml"
"BRIGADE","Brigade Enterprises Limited","7(2)","N Srinivasa","Employees/Designated Employees","Equity Shares","7725","0",,"3797","1097487","Sell","Equity Shares","3928","0","09-Feb-2021","09-Feb-2021","10-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 19:45","https://archives.nseindia.com/corporate/xbrl/IT_1091155_406582_11022021074538_WEB.xml"
"CARBORUNIV","Carborundum Universal Limited","7(2)","Ramesh Kalyanaraman","Employees/Designated Employees","Equity Shares","35792","0.02",,"35792","19036416","Sell","Equity Shares","Nil","0","09-Feb-2021","09-Feb-2021","09-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 19:44","https://archives.nseindia.com/corporate/xbrl/IT_1091154_406579_11022021074450_WEB.xml"
"AXISBANK","Axis Bank Limited","7(2)","Anil Agarwal","Other","Equity Shares","159000","0",,"4000","2140000","Buy","Equity Shares","163000","0","08-Feb-2021","08-Feb-2021","10-Feb-2021","ESOP","-","-","0","0","0","0","NA","-","11-Feb-2021 19:40","https://archives.nseindia.com/corporate/xbrl/IT_1091151_406566_11022021074022_WEB.xml"
"AXISBANK","Axis Bank Limited","7(2)","Jattendar Dassi","Other","Equity Shares","2500","0",,"1200","642000","Buy","Equity Shares","3700","0","08-Feb-2021","08-Feb-2021","10-Feb-2021","ESOP","-","-","0","0","0","0","NA","-","11-Feb-2021 19:40","https://archives.nseindia.com/corporate/xbrl/IT_1091151_406566_11022021074022_WEB.xml"
"AXISBANK","Axis Bank Limited","7(2)","Jattendar Dassi","Other","Equity Shares","3500","0",,"1000","726000","Sell","Equity Shares","2500","0","03-Feb-2021","04-Feb-2021","10-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 19:40","https://archives.nseindia.com/corporate/xbrl/IT_1091151_406566_11022021074022_WEB.xml"
"AXISBANK","Axis Bank Limited","7(2)","Bimal Bhattacharyya","Other","Equity Shares","Nil","0",,"7800","4837411","Buy","Equity Shares","7800","0","10-Feb-2021","10-Feb-2021","11-Feb-2021","ESOP","-","-","0","0","0","0","NA","-","11-Feb-2021 19:40","https://archives.nseindia.com/corporate/xbrl/IT_1091151_406566_11022021074022_WEB.xml"
"AXISBANK","Axis Bank Limited","7(2)","Rajesh Nair","Other","Equity Shares","30600","0",,"600","447000","Sell","Equity Shares","30000","0","09-Feb-2021","09-Feb-2021","10-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 19:40","https://archives.nseindia.com/corporate/xbrl/IT_1091151_406566_11022021074022_WEB.xml"
"CROMPTON","Crompton Greaves Consumer Electricals Limited","7(2)","Amalfiaco Limited","Promoters","Equity Shares","33667802","5.37",,"12000000","4879800000","Pledge","Equity Shares","33667802","5.37","09-Feb-2021","09-Feb-2021","11-Feb-2021","Pledge Creation","-","-","0","0","0","0","NA","-","11-Feb-2021 19:23","https://archives.nseindia.com/corporate/xbrl/IT_1091147_406548_11022021072325_WEB.xml"
"HINDUNILVR","Hindustan Unilever Limited","7(2)","Akshay Harlalka","Immediate relative","Equity Shares","35305","0",,"300","676176","Buy","Equity Shares","35605","0","08-Feb-2021","08-Feb-2021","10-Feb-2021","Market Purchase","-","-","0","0","0","0","NSE","-","11-Feb-2021 19:01","https://archives.nseindia.com/corporate/xbrl/IT_1091146_406510_11022021070131_WEB.xml"
"HINDUNILVR","Hindustan Unilever Limited","7(2)","Akshay Harlalka","Immediate relative","Equity Shares","35605","0",,"200","450104","Buy","Equity Shares","35805","0","09-Feb-2021","09-Feb-2021","10-Feb-2021","Market Purchase","-","-","0","0","0","0","NSE","-","11-Feb-2021 19:01","https://archives.nseindia.com/corporate/xbrl/IT_1091146_406510_11022021070131_WEB.xml"
"AUBANK","AU Small Finance Bank Limited","7(2)","Manoj Tibrewal","Employees/Designated Employees","Equity Shares","1096708","0.36",,"1000","1086000","Sell","Equity Shares","1095708","0.36","10-Feb-2021","10-Feb-2021","11-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:54","https://archives.nseindia.com/corporate/xbrl/IT_1091144_406501_11022021065430_WEB.xml"
"AUBANK","AU Small Finance Bank Limited","7(2)","Manoj Tibrewal","Employees/Designated Employees","Equity Shares","1099208","0.36",,"2500","2659000","Sell","Equity Shares","1096708","0.36","09-Feb-2021","09-Feb-2021","10-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:54","https://archives.nseindia.com/corporate/xbrl/IT_1091144_406501_11022021065430_WEB.xml"
"AUBANK","AU Small Finance Bank Limited","7(2)","Manoj Tibrewal","Employees/Designated Employees","Equity Shares","1100708","0.36",,"1500","1532100","Sell","Equity Shares","1099208","0.36","08-Feb-2021","08-Feb-2021","09-Feb-2021","Market Sale","-","-","0","0","0","0","BSE","-","11-Feb-2021 18:54","https://archives.nseindia.com/corporate/xbrl/IT_1091144_406501_11022021065430_WEB.xml"
"AUBANK","AU Small Finance Bank Limited","7(2)","Vijendra Singh Shekhawat","Employees/Designated Employees","Equity Shares","25214","0.01",,"2000","2038000","Sell","Equity Shares","23214","0.01","08-Feb-2021","08-Feb-2021","09-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:54","https://archives.nseindia.com/corporate/xbrl/IT_1091144_406501_11022021065430_WEB.xml"
"SHRENIK","Shrenik Limited","7(2)","Shalin Nainesh Kusumgar","Director","Equity Shares","631450","0.1",,"631450","2336365","Sell","Equity Shares","Nil","0","10-Feb-2021","10-Feb-2021","11-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:51","https://archives.nseindia.com/corporate/xbrl/IT_1091143_406496_11022021065127_WEB.xml"
"VGUARD","V-Guard Industries Limited","7(2)","Mr. Muralidharan M V","Employees/Designated Employees","Equity Shares","297485","0.07",,"2500","575000","Sell","Equity Shares","294985","0.07","11-Feb-2021","11-Feb-2021","11-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:43","https://archives.nseindia.com/corporate/xbrl/IT_1091140_406479_11022021064306_WEB.xml"
"VGUARD","V-Guard Industries Limited","7(2)","SIJU N P","Employees/Designated Employees","Equity Shares","81074","0.02",,"10000","2403782","Sell","Equity Shares","71074","0.02","08-Feb-2021","08-Feb-2021","10-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:43","https://archives.nseindia.com/corporate/xbrl/IT_1091140_406479_11022021064306_WEB.xml"
"VGUARD","V-Guard Industries Limited","7(2)","V R SURESHKUMAR","Employees/Designated Employees","Equity Shares","32257","0.01",,"4000","938540","Sell","Equity Shares","28257","0.01","08-Feb-2021","09-Feb-2021","11-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:43","https://archives.nseindia.com/corporate/xbrl/IT_1091140_406479_11022021064306_WEB.xml"
"VGUARD","V-Guard Industries Limited","7(2)","Mr. Muralidharan M V","Employees/Designated Employees","Equity Shares","297985","0.07",,"500","115400","Sell","Equity Shares","297485","0.07","10-Feb-2021","11-Feb-2021","11-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:43","https://archives.nseindia.com/corporate/xbrl/IT_1091140_406479_11022021064306_WEB.xml"
"BAJFINANCE","Bajaj Finance Limited","7(2)","Shri Vivek Likhite","Employees/Designated Employees","Equity Shares","33300","0.01",,"25500","2234055","Buy","Equity Shares","58800","0.01","10-Feb-2021","10-Feb-2021","10-Feb-2021","ESOP","-","-","0","0","0","0","NA","-","11-Feb-2021 18:42","https://archives.nseindia.com/corporate/xbrl/IT_1091139_406476_11022021064255_WEB.xml"
"BAJFINANCE","Bajaj Finance Limited","7(2)","Shri Vivek Likhite","Employees/Designated Employees","Equity Shares","58800","0.01",,"4000","21887600","Pledge Revoke","Equity Shares","58800","0.01","10-Feb-2021","10-Feb-2021","11-Feb-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","11-Feb-2021 18:42","https://archives.nseindia.com/corporate/xbrl/IT_1091139_406476_11022021064255_WEB.xml"
"BAJFINANCE","Bajaj Finance Limited","7(2)","Shri Vivek Likhite","Employees/Designated Employees","Equity Shares","58800","0.01",,"4000","21887600","Sell","Equity Shares","54800","0.01","10-Feb-2021","10-Feb-2021","11-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:42","https://archives.nseindia.com/corporate/xbrl/IT_1091139_406476_11022021064255_WEB.xml"
"BAJFINANCE","Bajaj Finance Limited","7(2)","Shri Raul Raj Verma","Employees/Designated Employees","Equity Shares","35632","0.01",,"600","3267000","Sell","Equity Shares","35032","0.01","10-Feb-2021","10-Feb-2021","11-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:42","https://archives.nseindia.com/corporate/xbrl/IT_1091139_406476_11022021064255_WEB.xml"
"BAJFINANCE","Bajaj Finance Limited","7(2)","Shri Vivek Likhite","Employees/Designated Employees","Equity Shares","58800","0.01",,"25500","137688525","Pledge","Equity Shares","58800","0.01","10-Feb-2021","10-Feb-2021","10-Feb-2021","Pledge Creation","-","-","0","0","0","0","NA","-","11-Feb-2021 18:42","https://archives.nseindia.com/corporate/xbrl/IT_1091139_406476_11022021064255_WEB.xml"
"BAJFINANCE","Bajaj Finance Limited","7(2)","Shri Dushyant Poddar","Employees/Designated Employees","Equity Shares","1438","0",,"1438","7812654","Sell","Equity Shares","Nil","0","09-Feb-2021","09-Feb-2021","10-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:42","https://archives.nseindia.com/corporate/xbrl/IT_1091139_406476_11022021064255_WEB.xml"
"ESCORTS","Escorts Limited","7(2)","Anil Kumar C","Employees/Designated Employees","Equity Shares","1800","0",,"1800","2583000","Sell","Equity Shares","Nil","0","08-Feb-2021","08-Feb-2021","09-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:36","https://archives.nseindia.com/corporate/xbrl/IT_1091137_406465_11022021063657_WEB.xml"
"QUESS","Quess Corp Limited","7(2)","Rajeev Kumar Shahi","Employees/Designated Employees","Equity Shares","20754","0.01",,"1500","1060515","Pledge Revoke","Equity Shares","20754","0.01","09-Feb-2021","09-Feb-2021","11-Feb-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","11-Feb-2021 18:34","https://archives.nseindia.com/corporate/xbrl/IT_1091135_406458_11022021063428_WEB.xml"
"QUESS","Quess Corp Limited","7(2)","Rajeev Kumar Shahi","Employees/Designated Employees","Equity Shares","20754","0.01",,"1500","1060515","Sell","Equity Shares","19254","0.01","09-Feb-2021","09-Feb-2021","11-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:34","https://archives.nseindia.com/corporate/xbrl/IT_1091135_406458_11022021063428_WEB.xml"
"AAVAS","Aavas Financiers Limited","7(2)","MUKESH AGARWAL","Employees/Designated Employees","Equity Shares","7498","0.01",,"2200","4733025","Sell","Equity Shares","5298","0.01","08-Feb-2021","09-Feb-2021","11-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:24","https://archives.nseindia.com/corporate/xbrl/IT_1091132_406431_11022021062411_WEB.xml"
"AAVAS","Aavas Financiers Limited","7(2)","RAJEEV SINHA","Employees/Designated Employees","Equity Shares","11521","0.01",,"1500","3482820","Sell","Equity Shares","10021","0.01","09-Feb-2021","10-Feb-2021","11-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:24","https://archives.nseindia.com/corporate/xbrl/IT_1091132_406431_11022021062411_WEB.xml"
"AAVAS","Aavas Financiers Limited","7(2)","RAHUL KHANDELWAL","Employees/Designated Employees","Equity Shares","16666","0.02",,"1653","3585996","Sell","Equity Shares","15013","0.02","01-Feb-2021","09-Feb-2021","10-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:24","https://archives.nseindia.com/corporate/xbrl/IT_1091132_406431_11022021062411_WEB.xml"
"AAVAS","Aavas Financiers Limited","7(2)","RAJESH MAIYA","Employees/Designated Employees","Equity Shares","15311","0.02",,"2330","4911552","Sell","Equity Shares","12981","0.02","04-Feb-2021","09-Feb-2021","10-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:24","https://archives.nseindia.com/corporate/xbrl/IT_1091132_406431_11022021062411_WEB.xml"
"AAVAS","Aavas Financiers Limited","7(2)","PUSHPA RAMACHANDRA KAMATH","Immediate relative","Equity Shares","14595","0.02",,"4595","10009869","Sell","Equity Shares","10000","0.01","08-Feb-2021","10-Feb-2021","10-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:24","https://archives.nseindia.com/corporate/xbrl/IT_1091132_406431_11022021062411_WEB.xml"
"AAVAS","Aavas Financiers Limited","7(2)","ANOOP SINGH","Employees/Designated Employees","Equity Shares","5500","0.01",,"1500","3208002","Sell","Equity Shares","4000","0.01","08-Feb-2021","10-Feb-2021","11-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:24","https://archives.nseindia.com/corporate/xbrl/IT_1091132_406431_11022021062411_WEB.xml"
"SHRENIK","Shrenik Limited","7(2)","Kaivan Shrenik Vimawala","Promoter Group","Equity Shares","22634552","3.7",,"500000","1860000","Sell","Equity Shares","22134552","3.62","10-Feb-2021","10-Feb-2021","11-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:21","https://archives.nseindia.com/corporate/xbrl/IT_1091131_406423_11022021062129_WEB.xml"
"ICICIGI","ICICI Lombard General Insurance Company Limited","7(2)","NIKHIL VERMA","Employees/Designated Employees","Equity Shares","Nil","0",,"1000","1086850","Buy","Equity Shares","1000","0","09-Feb-2021","09-Feb-2021","10-Feb-2021","ESOP","-","-","0","0","0","0","NA","-","11-Feb-2021 18:13","https://archives.nseindia.com/corporate/xbrl/IT_1091129_406413_11022021061306_WEB.xml"
"ICICIGI","ICICI Lombard General Insurance Company Limited","7(2)","ANURAG CHOUDHARY","Employees/Designated Employees","Equity Shares","900","0",,"900","1350000","Sell","Equity Shares","Nil","0","09-Feb-2021","09-Feb-2021","11-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:13","https://archives.nseindia.com/corporate/xbrl/IT_1091129_406413_11022021061306_WEB.xml"
"ICICIGI","ICICI Lombard General Insurance Company Limited","7(2)","ANURAG CHOUDHARY","Employees/Designated Employees","Equity Shares","Nil","0",,"900","643635","Buy","Equity Shares","900","0","05-Jan-2021","05-Jan-2021","11-Feb-2021","ESOP","-","-","0","0","0","0","NA","-","11-Feb-2021 18:13","https://archives.nseindia.com/corporate/xbrl/IT_1091129_406413_11022021061306_WEB.xml"
"ICICIGI","ICICI Lombard General Insurance Company Limited","7(2)","VIVEK SRIVASTAV","Employees/Designated Employees","Equity Shares","Nil","0",,"5700","4076355","Buy","Equity Shares","5700","0","09-Feb-2021","09-Feb-2021","10-Feb-2021","ESOP","-","-","0","0","0","0","NA","-","11-Feb-2021 18:13","https://archives.nseindia.com/corporate/xbrl/IT_1091129_406413_11022021061306_WEB.xml"
"QUESS","Quess Corp Limited","7(2)","Lohit Bhatia","Employees/Designated Employees","Equity Shares","34035","0.02",,"2160","1510056","Buy","Equity Shares","36195","0.02","09-Feb-2021","09-Feb-2021","10-Feb-2021","ESOP","-","-","0","0","0","0","NA","-","11-Feb-2021 18:12","https://archives.nseindia.com/corporate/xbrl/IT_1091128_406411_11022021061234_WEB.xml"
"QUESS","Quess Corp Limited","7(2)","Lohit Bhatia","Employees/Designated Employees","Equity Shares","36035","0.02",,"2000","1432210","Pledge Revoke","Equity Shares","36035","0.02","08-Feb-2021","09-Feb-2021","09-Feb-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","11-Feb-2021 18:07","https://archives.nseindia.com/corporate/xbrl/IT_1091125_406407_11022021060740_WEB.xml"
"QUESS","Quess Corp Limited","7(2)","Lohit Bhatia","Employees/Designated Employees","Equity Shares","36035","0.02",,"2000","1432210","Sell","Equity Shares","34035","0.02","08-Feb-2021","09-Feb-2021","09-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:07","https://archives.nseindia.com/corporate/xbrl/IT_1091125_406407_11022021060740_WEB.xml"
"MPHASIS","MphasiS Limited","7(2)","Jayaprakash Bandu","Employees/Designated Employees","Equity Shares","500","0",,"500","824500","Sell","Equity Shares","Nil","0","08-Feb-2021","08-Feb-2021","10-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:06","https://archives.nseindia.com/corporate/xbrl/IT_1091122_406403_11022021060619_WEB.xml"
"MPHASIS","MphasiS Limited","7(2)","Jayaprakash Bandu","Employees/Designated Employees","Equity Shares","1000","0",,"500","800500","Sell","Equity Shares","500","0","05-Feb-2021","05-Feb-2021","10-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:06","https://archives.nseindia.com/corporate/xbrl/IT_1091122_406403_11022021060619_WEB.xml"
"SHAREINDIA","Share India Securities Limited","7(3)","Reema Bhavya Vora","-","Equity Shares","2000","0.01",,"10000","2040500","Buy","Equity Shares","12000","0.04","09-Feb-2021","09-Feb-2021","10-Feb-2021","Market Purchase","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:05","https://archives.nseindia.com/corporate/xbrl/IT_1091121_406400_11022021060541_WEB.xml"
"QUESS","Quess Corp Limited","7(2)","Divya Nagarajan","Employees/Designated Employees","Equity Shares","14769","0.01",,"14705","10584437","Sell","Equity Shares","64","0","08-Feb-2021","08-Feb-2021","10-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:05","https://archives.nseindia.com/corporate/xbrl/IT_1091120_406396_11022021060526_WEB.xml"
"QUESS","Quess Corp Limited","7(2)","Vijay Sivaram","Employees/Designated Employees","Equity Shares","69689","0.05",,"2800","1960000","Sell","Equity Shares","66889","0.05","08-Feb-2021","08-Feb-2021","09-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:04","https://archives.nseindia.com/corporate/xbrl/IT_1091117_406392_11022021060422_WEB.xml"
"QUESS","Quess Corp Limited","7(2)","Pratibha Jagannathan","Employees/Designated Employees","Equity Shares","73392","0.05",,"7500","5024925","Sell","Equity Shares","65892","0.04","05-Feb-2021","05-Feb-2021","09-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 18:03","https://archives.nseindia.com/corporate/xbrl/IT_1091116_406384_11022021060309_WEB.xml"
"APARINDS","Apar Industries Limited","7(2)","Chaitanya N. Desai","Promoters","Equity Shares","8964946","23.43",,"94000","35344000","Buy","Equity Shares","9058946","23.67","10-Feb-2021","10-Feb-2021","11-Feb-2021","Market Purchase","-","-","0","0","0","0","NSE","-","11-Feb-2021 17:55","https://archives.nseindia.com/corporate/xbrl/IT_1091113_406353_11022021055542_WEB.xml"
"APARINDS","Apar Industries Limited","7(2)","Kushal N. Desai","Promoters","Equity Shares","9048503","23.65",,"160000","60164800","Buy","Equity Shares","9208503","24.06","10-Feb-2021","10-Feb-2021","11-Feb-2021","Market Purchase","-","-","0","0","0","0","BSE","-","11-Feb-2021 17:55","https://archives.nseindia.com/corporate/xbrl/IT_1091113_406353_11022021055542_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","SMITA SALUNKHE","Employees/Designated Employees","Equity Shares","4950","0",,"2160","524729","Sell","Equity Shares","2790","0","10-Feb-2021","10-Feb-2021","11-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 17:55","https://archives.nseindia.com/corporate/xbrl/IT_1091112_406351_11022021055516_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","RAVINDRA LADHE","Employees/Designated Employees","Equity Shares","41480","0.01",,"5000","1210000","Pledge Revoke","Equity Shares","41480","0.01","11-Feb-2021","11-Feb-2021","11-Feb-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","11-Feb-2021 17:55","https://archives.nseindia.com/corporate/xbrl/IT_1091112_406351_11022021055516_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","BRIJESH MEHRA","Employees/Designated Employees","Equity Shares","98708","0.02",,"20000","4813200","Sell","Equity Shares","78708","0.01","10-Feb-2021","10-Feb-2021","11-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 17:55","https://archives.nseindia.com/corporate/xbrl/IT_1091112_406351_11022021055516_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","NITESH KUMAR","Employees/Designated Employees","Equity Shares","30800","0.01",,"30800","7700000","Pledge Revoke","Equity Shares","30800","0.01","10-Feb-2021","10-Feb-2021","10-Feb-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","11-Feb-2021 17:55","https://archives.nseindia.com/corporate/xbrl/IT_1091112_406351_11022021055516_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","BRIJESH MEHRA","Employees/Designated Employees","Equity Shares","118708","0.02",,"20000","4873400","Sell","Equity Shares","98708","0.02","09-Feb-2021","09-Feb-2021","10-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 17:55","https://archives.nseindia.com/corporate/xbrl/IT_1091112_406351_11022021055516_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","LOKESH GARG","Employees/Designated Employees","Equity Shares","4814","0",,"4814","1198686","Pledge Revoke","Equity Shares","4814","0","09-Feb-2021","09-Feb-2021","09-Feb-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","11-Feb-2021 17:55","https://archives.nseindia.com/corporate/xbrl/IT_1091112_406351_11022021055516_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","SMITA SALUNKHE","Employees/Designated Employees","Equity Shares","2790","0",,"2790","681597","Sell","Equity Shares","Nil","0","11-Feb-2021","11-Feb-2021","11-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 17:55","https://archives.nseindia.com/corporate/xbrl/IT_1091112_406351_11022021055516_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","AMIT JAIN","Employees/Designated Employees","Equity Shares","52150","0.01",,"4500","1165500","Sell","Equity Shares","47650","0.01","05-Feb-2021","05-Feb-2021","10-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 17:55","https://archives.nseindia.com/corporate/xbrl/IT_1091112_406351_11022021055516_WEB.xml"
"AARTIIND","Aarti Industries Limited","7(2)","JAYA CHANDRAKANT GOGRI","Promoter Group","Equity Shares","5629274","3.23",,"10000","12220508","Sell","Equity Shares","5619274","3.23","10-Feb-2021","10-Feb-2021","11-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 17:54","https://archives.nseindia.com/corporate/xbrl/IT_1091111_406346_11022021055435_WEB.xml"
"ROUTE","ROUTE MOBILE LIMITED","7(2)","Rahul Pandey","Employees/Designated Employees","Equity Shares","16344","0.03",,"500","635550","Pledge Revoke","Equity Shares","16344","0.03","09-Feb-2021","09-Feb-2021","10-Feb-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","11-Feb-2021 17:44","https://archives.nseindia.com/corporate/xbrl/IT_1091105_406325_11022021054457_WEB.xml"
"ROUTE","ROUTE MOBILE LIMITED","7(2)","Sharad Kumar","Employees/Designated Employees","Equity Shares","9898","0.02",,"1500","1833000","Sell","Equity Shares","8398","0.01","09-Feb-2021","09-Feb-2021","10-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 17:44","https://archives.nseindia.com/corporate/xbrl/IT_1091105_406325_11022021054457_WEB.xml"
"ROUTE","ROUTE MOBILE LIMITED","7(2)","Anil Kumar Sinha","Employees/Designated Employees","Equity Shares","2500","0",,"2500","3062500","Sell","Equity Shares","Nil","0","09-Feb-2021","09-Feb-2021","10-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 17:44","https://archives.nseindia.com/corporate/xbrl/IT_1091105_406325_11022021054457_WEB.xml"
"ROUTE","ROUTE MOBILE LIMITED","7(2)","Rahul Pandey","Employees/Designated Employees","Equity Shares","14844","0.03",,"3000","3645232","Sell","Equity Shares","11844","0.02","09-Feb-2021","09-Feb-2021","11-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 17:44","https://archives.nseindia.com/corporate/xbrl/IT_1091105_406325_11022021054457_WEB.xml"
"HDFC","Housing Development Finance Corporation Limited","7(2)","SUDHIR KUMAR JHA","Employees/Designated Employees","Equity Shares","625","0",,"600","1658568","Sell","Equity Shares","25","0","09-Feb-2021","09-Feb-2021","10-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 17:43","https://archives.nseindia.com/corporate/xbrl/IT_1091104_406323_11022021054352_WEB.xml"
"HDFC","Housing Development Finance Corporation Limited","7(2)","PRAVEEN R SIKCHI","Employees/Designated Employees","Equity Shares","38854","0",,"5754","15921893","Pledge","Equity Shares","38854","0","10-Feb-2021","10-Feb-2021","10-Feb-2021","Pledge Creation","-","-","0","0","0","0","NA","-","11-Feb-2021 17:43","https://archives.nseindia.com/corporate/xbrl/IT_1091104_406323_11022021054352_WEB.xml"
"HDFC","Housing Development Finance Corporation Limited","7(2)","RANGAN SRINIVASA V","Director","Equity Shares","567475","0.03",,"5000","13800400","Sell","Equity Shares","562475","0.03","10-Feb-2021","10-Feb-2021","10-Feb-2021","Market Sale","-","-","0","0","0","0","NSE","-","11-Feb-2021 17:43","https://archives.nseindia.com/corporate/xbrl/IT_1091104_406323_11022021054352_WEB.xml"
