,SYMBOL, DATE1, SERIES, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, CLOSE_PRICE, TTL_TRD_QNTY, NO_OF_TRADES, DELIV_QTY, DELIV_PER,HiLo,Wick,ClOP_per,Wick_Percentage,HiLo_Percentage,vol_dis,Factor,Per_vol_Updown,delivery_Factor,delivery_density
98,2021-04-05,DRREDDY, EQ,4560.0,4584.0,4424.0,4556.6,732258,52046,248890.0,33.99,160.0,156.60000000000036,-0.07461703902031047,3.4367730325242576,3.490234375,209801.95635142698,498.57134171273555,-97.0696400024005,48.663396759576756,-125.25078013044585
99,2021-04-06,DRREDDY, EQ,4560.0,4640.0,4544.0,4619.25,742294,50821,243650.0,32.82,96.0,36.75,1.2826757590517985,0.7955836986523792,2.068359375,358880.57412653445,6.714032811915251,41.53989614454451,79.39810505625563,38.70962446131747
100,2021-04-12,DRREDDY, EQ,4776.0,5120.0,4696.0,4996.95,3513765,230750,980590.0,27.91,424.0,203.05000000000018,4.421697235313545,4.0634787220204345,8.28125,424303.69811320753,9.947717844954504,15.418937962972379,72.3496706182596,-9.74217902827209
101,2021-04-13,DRREDDY, EQ,5144.0,5144.0,4752.0,4777.3,3937234,249793,682609.0,17.34,392.0,25.300000000000182,-7.6758838674565055,0.5295878425051797,7.62109375,516623.2209123526,0.7468340010560283,17.869797380789333,54.475458953931664,-32.811493482677484
102,2021-04-15,DRREDDY, EQ,4844.0,4876.0,4784.0,4845.55,1386901,96985,237059.0,17.09,92.0,90.44999999999982,0.03198811280454095,1.8666611633354222,1.88671875,735086.2443064182,631.6715886657996,29.719373078487376,80.60900780284292,32.42013462419714
103,2021-04-16,DRREDDY, EQ,4864.0,4940.0,4816.0,4893.25,1198029,82710,213502.0,17.82,124.0,94.75,0.5977622234711077,1.9363408777397382,2.509765625,477346.9634241245,35.06451359175905,-53.99411761907269,53.863580283364755,-49.65400996141772
104,2021-04-19,DRREDDY, EQ,4892.0,5004.0,4808.0,4968.1,1843928,135368,373386.0,20.25,196.0,119.89999999999964,1.531772709889097,2.4133974758962182,3.916015625,470868.3970074813,17.054892916876945,-1.3758762443639379,59.59597285407233,9.618758275402284
105,2021-04-20,DRREDDY, EQ,5100.0,5212.0,5088.0,5156.75,3484976,229938,895744.0,25.7,124.0,67.25,1.100499345518017,1.3041159645125333,2.37890625,1464948.8604269293,12.827466626450654,67.85769048140995,225.98373250527993,73.62820226332889
106,2021-04-22,DRREDDY, EQ,5180.0,5288.0,5160.0,5199.85,2424134,188943,600128.0,24.76,128.0,108.14999999999964,0.38174178101292,2.0798676884910066,2.419921875,1001740.6037126716,58.97670204089973,-46.24033956470426,146.6725610236012,-54.07362558353143
107,2021-04-23,DRREDDY, EQ,5228.0,5268.0,5032.0,5066.7,2354899,153895,400720.0,17.02,236.0,74.69999999999982,-3.1835316872915342,1.4743324057078553,4.48046875,525592.1046207498,5.013034633520438,-90.59278001055496,53.118275923398464,-176.12447594330203
108,2021-04-26,DRREDDY, EQ,5124.0,5128.0,5032.0,5066.7,950577,70675,217218.0,22.85,96.0,38.69999999999982,-1.1309136124104526,0.7638107644028622,1.8720703125,507767.78716744913,7.310899496338038,-3.5103285209825024,70.7847222824122,24.957993461540077
0,2020-11-03,EICHERMOT, EQ,2038.0,2116.0,2038.0,2095.0,1939408,62190,728412.0,37.56,78.0,21.0,2.7207637231503554,1.0023866348448678,3.685546875,526219.8706942237,5.567879298748945,100.0,192.47053629158358,100.0
1,2020-11-04,EICHERMOT, EQ,2092.0,2124.0,2070.0,2097.4,1114904,59536,160295.0,14.38,54.0,48.59999999999991,0.2574616191475201,2.317154572327638,2.54296875,438426.1505376344,136.01533715515032,-20.024745341702218,61.179790190956055,-214.59822874651783
2,2020-11-05,EICHERMOT, EQ,2122.0,2142.0,2104.0,2119.8,828400,42970,192378.0,23.22,38.0,35.80000000000018,-0.10378337579015806,1.688838569676392,1.7744140625,466858.33791964775,245.92672071489895,6.090110226735824,104.34065917563342,41.36534053520403
3,2020-11-06,EICHERMOT, EQ,2128.0,2154.0,2112.0,2139.05,996379,51072,225234.0,22.61,42.0,30.949999999999818,0.5165844650662734,1.4469039994390016,1.9501953125,510912.4166249374,42.32955942636429,8.622628315888022,110.52650227467049,5.59670574181798
4,2020-11-09,EICHERMOT, EQ,2152.0,2202.0,2142.0,2192.85,1129889,53815,334646.0,29.62,60.0,19.15000000000009,1.8628725175000511,0.8732927468819156,2.724609375,414697.61146953405,7.084710204056021,-23.20119588209198,114.95190031765439,3.8497824139965466
5,2020-11-10,EICHERMOT, EQ,2212.0,2258.0,2192.0,2234.85,986762,52835,235919.0,23.91,66.0,43.15000000000009,1.0224399847864447,1.9307783520146842,2.923828125,337489.7421509686,28.53907998174035,-22.877101042089816,73.67170999976828,-56.032621365807756
6,2020-11-11,EICHERMOT, EQ,2234.0,2332.0,2222.0,2326.7,2127849,107978,580850.0,27.3,110.0,17.300000000000182,3.984183607684699,0.74354235612671,4.71875,450934.88741721853,2.8204067275370592,25.157766327644346,108.83111428930796,32.30639006054345
7,2020-11-12,EICHERMOT, EQ,2326.0,2368.0,2302.0,2350.75,1905794,90479,491935.0,25.81,66.0,41.25,1.0528554716579777,1.7547591194299628,2.787109375,683788.7372109321,25.188025399102372,34.053478380396875,153.6192195572888,29.155274578958608
8,2020-11-14,EICHERMOT, EQ,2540.0,2588.0,2502.0,2540.55,1043101,45928,89201.0,8.55,86.0,85.44999999999982,0.021648855562773406,3.3634449233433656,3.322265625,313972.7877718989,2347.9819312943337,-117.78598778047744,21.377309212626677,-618.6087735801303
9,2020-11-17,EICHERMOT, EQ,2540.0,2564.0,2492.0,2541.7,2112263,96232,285694.0,13.53,72.0,70.30000000000018,0.06688436872958903,2.7658653657001224,2.80859375,752071.3880389429,624.9593596083297,58.25226264881638,81.78061844793193,73.8601766306803
10,2020-11-18,EICHERMOT, EQ,2526.0,2630.0,2514.0,2614.15,1880217,81807,218643.0,11.63,116.0,27.84999999999991,3.372032974389384,1.0653558518065012,4.41015625,426337.95571302035,4.774723816437832,-76.40263503660054,38.84716728117367,-110.51887221533633
